location,continent,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,male_smokers,female_smokers,cardiovasc_death_rate,hospital_beds_per_thousand,life_expectancy
Afghanistan,Asia,39835428.0,54.422,18.6,2.5810000000000004,1.337,1803.987,,,597.029,0.5,64.83
Albania,Europe,2872934.0,104.87100000000001,38.0,13.187999999999999,8.642999999999999,11803.431,51.2,7.1,304.195,2.89,78.57
Algeria,Africa,44616626.0,17.348,29.1,6.211,3.8569999999999998,13913.839,30.4,0.7,278.36400000000003,1.9,76.88
Andorra,Europe,77354.0,163.755,,,,,37.8,29.0,109.135,,83.73
Angola,Africa,33933611.0,23.89,16.8,2.405,1.3619999999999999,5819.495,,,276.045,,61.15
Anguilla,North America,15125.0,,,,,,,,,,81.88
Antigua and Barbuda,North America,98728.0,231.845,32.1,6.933,4.631,21490.943,,,191.511,3.8,77.02
Argentina,South America,45605823.0,16.177,31.9,11.198,7.441,18933.907,27.7,16.2,191.032,5.0,76.67
Armenia,Asia,2968128.0,102.931,35.7,11.232000000000001,7.571000000000001,8787.58,52.1,1.5,341.01,4.2,75.09
Aruba,North America,107195.0,584.8,41.2,13.085,7.452000000000001,35973.781,,,,,76.29
Australia,Oceania,25788217.0,3.202,37.9,15.504000000000001,10.129,44648.71,16.5,13.0,107.791,3.84,83.44
Austria,Europe,9043072.0,106.749,44.4,19.202,13.748,45436.685999999994,30.9,28.4,145.183,7.37,81.54
Azerbaijan,Asia,10223344.0,119.309,32.4,6.018,3.8710000000000004,15847.419,42.5,0.3,559.812,4.7,73.0
Bahamas,North America,396914.0,39.497,34.3,8.996,5.2,27717.847,20.4,3.1,235.954,2.9,73.92
Bahrain,Asia,1748295.0,1935.9070000000002,32.4,2.372,1.3869999999999998,43290.705,37.6,5.8,151.689,2.0,77.29
Bangladesh,Asia,166303494.0,1265.036,27.5,5.098,3.262,3523.9840000000004,44.7,1.0,298.003,0.8,72.59
Barbados,North America,287708.0,664.4630000000001,39.8,14.952,9.472999999999999,16978.068,14.5,1.9,170.05,5.8,79.19
Belarus,Europe,9442867.0,46.858000000000004,40.3,14.799000000000001,9.788,17167.967,46.1,10.5,443.129,11.0,74.79
Belgium,Europe,11632334.0,375.564,41.8,18.570999999999998,12.849,42658.575999999994,31.4,25.1,114.898,5.64,81.63
Belize,North America,404915.0,16.426,25.0,3.853,2.279,7824.361999999999,,,176.957,1.3,74.62
Benin,Africa,12451031.0,99.11,18.8,3.2439999999999998,1.942,2064.236,12.3,0.6,235.84799999999998,0.5,61.77
Bermuda,North America,62092.0,1308.82,,,,50669.315,,,139.547,,82.59
Bhutan,Asia,779900.0,21.188000000000002,28.6,4.885,2.977,8708.597,,,217.06599999999997,1.7,71.78
Bolivia,South America,11832936.0,10.202,25.4,6.704,4.393,6885.829000000001,,,204.299,1.1,71.51
Bonaire Sint Eustatius and Saba,North America,26445.0,,,,,,,,,,77.79
Bosnia and Herzegovina,Europe,3263459.0,68.49600000000001,42.5,16.569000000000003,10.710999999999999,11713.895,47.7,30.2,329.635,3.5,77.4
Botswana,Africa,2397240.0,4.044,25.8,3.9410000000000003,2.242,15807.374,34.4,5.7,237.372,1.8,69.59
Brazil,South America,213993441.0,25.04,33.5,8.552,5.06,14103.452,17.9,10.1,177.96099999999998,2.2,75.88
British Virgin Islands,North America,30423.0,207.97299999999998,,,,,,,,,79.07
Brunei,Asia,441532.0,81.347,32.4,4.591,2.3819999999999997,71809.25099999999,30.9,2.0,201.285,2.7,75.86
Bulgaria,Europe,6896655.0,65.18,44.7,20.801,13.272,18563.307,44.4,30.1,424.68800000000005,7.454,75.05
Burkina Faso,Africa,21497097.0,70.15100000000001,17.6,2.4090000000000003,1.358,1703.102,23.9,1.6,269.048,0.4,61.58
Burundi,Africa,12255429.0,423.06199999999995,17.5,2.562,1.504,702.225,,,293.068,0.8,61.58
Cambodia,Asia,16946446.0,90.67200000000001,25.6,4.412,2.385,3645.07,33.7,2.0,270.892,0.8,69.82
Cameroon,Africa,27224262.0,50.885,18.8,3.165,1.919,3364.926,,,244.66099999999997,1.3,59.29
Canada,North America,38067913.0,4.037,41.4,16.984,10.797,44017.59099999999,16.6,12.0,105.59899999999999,2.5,82.43
Cape Verde,Africa,561901.0,135.58,25.7,4.46,3.437,6222.554,16.5,2.1,182.21900000000002,2.1,72.98
Cayman Islands,North America,66498.0,256.496,,,,49903.029,,,,,83.92
Central African Republic,Africa,4919987.0,7.479,18.3,3.655,2.251,661.24,,,435.727,1.0,53.28
Chad,Africa,16914985.0,11.833,16.7,2.4859999999999998,1.446,1768.1529999999998,,,280.995,,54.24
Chile,South America,19212362.0,24.281999999999996,35.4,11.087,6.938,22767.037,41.5,34.2,127.993,2.11,80.18
China,Asia,1444216102.0,147.674,38.7,10.640999999999998,5.928999999999999,15308.712,48.4,1.9,261.899,4.34,76.91
Colombia,South America,51265841.0,44.223,32.2,7.646,4.312,13254.948999999999,13.5,4.7,124.24,1.71,77.29
Comoros,Africa,888456.0,437.352,20.4,2.963,1.726,1413.89,23.6,4.4,261.51599999999996,2.2,64.32
Congo,Africa,5657017.0,15.405,19.0,3.4019999999999997,2.063,4881.406,52.3,1.7,344.094,,64.57
Cook Islands,Oceania,17572.0,,,,,,,,,,76.25
Costa Rica,North America,5139053.0,96.079,33.6,9.468,5.694,15524.995,17.4,6.4,137.97299999999998,1.13,80.28
Cote d'Ivoire,Africa,27053629.0,76.399,18.7,2.9330000000000003,1.5819999999999999,3601.006,,,303.74,,57.78
Croatia,Europe,4081657.0,73.726,44.0,19.724,13.052999999999999,22669.797000000002,39.9,34.3,253.782,5.54,78.49
Cuba,North America,11317498.0,110.40799999999999,43.1,14.738,9.719,,53.3,17.1,190.968,5.2,78.8
Curacao,North America,164796.0,362.644,41.7,16.367,10.068,,,,,,78.88
Cyprus,Europe,896005.0,127.65700000000001,37.3,13.415999999999999,8.562999999999999,32415.132,52.7,19.6,141.171,3.4,80.98
Czechia,Europe,10724553.0,137.17600000000002,43.3,19.027,11.58,32605.906000000003,38.3,30.5,227.485,6.63,79.38
Democratic Republic of Congo,Africa,92377986.0,35.879,17.0,3.02,1.745,808.133,,,318.949,,60.68
Denmark,Europe,5813302.0,136.52,42.3,19.677,12.325,46682.515,18.8,19.3,114.76700000000001,2.5,80.9
Djibouti,Africa,1002197.0,41.285,25.4,4.213,2.38,2705.406,24.5,1.7,258.03700000000003,1.4,67.11
Dominica,North America,72172.0,98.56700000000001,,,,9673.367,,,227.37599999999998,3.8,75.0
Dominican Republic,North America,10953714.0,222.873,27.6,6.981,4.419,14600.861,19.1,8.5,266.653,1.6,74.08
Ecuador,South America,17888474.0,66.939,28.1,7.104,4.458,10581.936000000002,12.3,2.0,140.44799999999998,1.5,77.01
Egypt,Africa,104258327.0,97.999,25.3,5.159,2.891,10550.206,50.1,0.2,525.432,1.6,71.99
El Salvador,North America,6518500.0,307.811,27.6,8.273,5.417000000000001,7292.4580000000005,18.8,2.5,167.295,1.3,73.32
Equatorial Guinea,Africa,1449891.0,45.193999999999996,22.4,2.846,1.7519999999999998,22604.873,,,202.812,2.1,58.74
Eritrea,Africa,3601462.0,44.303999999999995,19.3,3.6069999999999998,2.171,1510.4589999999998,11.4,0.2,311.11,0.7,66.32
Estonia,Europe,1325188.0,31.033,42.7,19.452,13.491,29481.252,39.3,24.5,255.56900000000002,4.69,78.74
Eswatini,Africa,1172369.0,79.492,21.5,3.1630000000000003,1.845,7738.975,16.5,1.7,333.436,2.1,60.19
Ethiopia,Africa,117876226.0,104.95700000000001,19.8,3.5260000000000002,2.063,1729.9270000000001,8.5,0.4,182.63400000000001,0.3,66.6
Faeroe Islands,Europe,49053.0,35.308,,,,,,,,,80.67
Falkland Islands,South America,3528.0,,,,,,,,,,81.44
Fiji,Oceania,902899.0,49.562,28.6,6.224,3.284,8702.975,34.8,10.2,412.82,2.3,67.44
Finland,Europe,5548361.0,18.136,42.8,21.228,13.264000000000001,40585.721,22.6,18.3,153.507,3.28,81.91
France,Europe,67422000.0,122.57799999999999,42.0,19.718,13.079,38605.671,35.6,30.1,86.06,5.98,82.66
French Polynesia,Oceania,282534.0,77.324,32.7,7.775,4.593,,,,,,77.66
Gabon,Africa,2278829.0,7.859,23.1,4.45,2.9760000000000004,16562.413,,,259.967,6.3,66.47
Gambia,Africa,2486937.0,207.56599999999997,17.5,2.339,1.4169999999999998,1561.767,31.2,0.7,331.43,1.1,62.05
Georgia,Asia,3979773.0,65.032,38.7,14.864,10.244000000000002,9745.079,55.5,5.3,496.218,2.6,73.77
Germany,Europe,83900471.0,237.016,46.6,21.453000000000003,15.957,45229.245,33.1,28.2,156.139,8.0,81.33
Ghana,Africa,31732128.0,126.719,21.1,3.385,1.9480000000000002,4227.63,7.7,0.3,298.245,0.9,64.07
Gibraltar,Europe,33691.0,3457.1,,,,,,,,,79.93
Greece,Europe,10370747.0,83.479,45.3,20.396,14.524000000000001,24574.382,52.0,35.3,175.695,4.21,82.24
Greenland,North America,56868.0,0.13699999999999998,,,,,,,199.94099999999997,,71.7
Grenada,North America,113015.0,317.132,29.4,7.303999999999999,5.021,13593.877,,,243.96400000000003,3.7,72.4
Guam,Oceania,170184.0,304.128,31.4,9.551,5.492999999999999,,,,310.496,,80.07
Guatemala,North America,18249868.0,157.834,22.9,4.694,3.016,7423.808000000001,,,155.898,0.6,74.3
Guernsey,Europe,63385.0,,,,,,,,,,
Guinea,Africa,13497237.0,51.755,19.0,3.135,1.733,1998.9260000000002,,,336.717,0.3,61.6
Guinea-Bissau,Africa,2015490.0,66.191,19.4,3.002,1.565,1548.675,,,382.474,,58.32
Guyana,South America,790329.0,3.952,26.3,5.305,2.8369999999999997,7435.047,,,373.159,1.6,69.91
Haiti,North America,11541683.0,398.44800000000004,24.3,4.8,2.9539999999999997,1653.1729999999998,23.1,2.9,430.548,0.7,64.0
Honduras,North America,10062994.0,82.805,24.9,4.652,2.883,4541.795,,2.0,240.208,0.7,75.27
Hong Kong,Asia,7552800.0,7039.714,44.8,16.303,10.158,56054.92,,,,,84.86
Hungary,Europe,9634162.0,108.04299999999999,43.4,18.577,11.975999999999999,26777.561,34.8,26.8,278.296,7.02,76.88
Iceland,Europe,368792.0,3.404,37.3,14.431,9.207,46482.958,15.2,14.3,117.992,2.91,82.99
India,Asia,1393409033.0,450.41900000000004,28.2,5.989,3.4139999999999997,6426.674,20.6,1.9,282.28,0.53,69.66
Indonesia,Asia,276361788.0,145.725,29.3,5.319,3.053,11188.743999999999,76.1,2.8,342.86400000000003,1.04,71.72
Iran,Asia,85028760.0,49.831,32.4,5.44,3.182,19082.62,21.1,0.8,270.308,1.5,76.68
Iraq,Asia,41179351.0,88.125,20.0,3.1860000000000004,1.9569999999999999,15663.986,,,218.612,1.4,70.6
Ireland,Europe,4982904.0,69.874,38.7,13.927999999999999,8.677999999999999,67335.293,25.7,23.0,126.459,2.96,82.3
Isle of Man,Europe,85410.0,147.872,,,,,,,,,81.4
Israel,Asia,9291000.0,402.606,30.6,11.732999999999999,7.359,33132.32,35.4,15.4,93.32,2.99,82.97
Italy,Europe,60367471.0,205.859,47.9,23.021,16.24,35220.084,27.8,19.8,113.15100000000001,3.18,83.51
Jamaica,North America,2973462.0,266.879,31.4,9.684,6.39,8193.571,28.6,5.3,206.537,1.7,74.47
Japan,Asia,126050796.0,347.778,48.2,27.049,18.493,39002.223,33.7,11.2,79.37,13.05,84.63
Jersey,Europe,101073.0,,,,,,,,,,
Jordan,Asia,10269022.0,109.285,23.2,3.81,2.3609999999999998,8337.49,,,208.257,1.4,74.53
Kazakhstan,Asia,18994958.0,6.681,30.6,6.9910000000000005,4.625,24055.588,43.1,7.0,466.792,6.7,73.6
Kenya,Africa,54985702.0,87.324,20.0,2.6860000000000004,1.528,2993.028,20.4,1.2,218.637,1.4,66.7
Kiribati,Oceania,121388.0,143.701,23.2,3.895,2.21,1981.132,58.9,35.9,434.657,1.9,68.37
Kosovo,Europe,1782115.0,168.155,,,,9795.834,,,,,
Kuwait,Asia,4328553.0,232.128,33.7,2.345,1.114,65530.537000000004,37.0,2.7,132.235,2.0,75.49
Kyrgyzstan,Asia,6628347.0,32.333,26.3,4.489,2.8819999999999997,3393.474,50.5,3.6,436.36199999999997,4.5,71.45
Laos,Asia,7379358.0,29.715,24.4,4.029,2.322,6397.36,51.2,7.3,368.111,1.5,67.92
Latvia,Europe,1866934.0,31.212,43.9,19.754,14.136,25063.846,51.0,25.6,350.06,5.57,75.29
Lebanon,Asia,6769151.0,594.561,31.1,8.514,5.43,13367.565,40.7,26.9,266.591,2.9,78.93
Lesotho,Africa,2159067.0,73.562,22.2,4.506,2.647,2851.153,53.9,0.4,405.126,,54.33
Liberia,Africa,5180208.0,49.126999999999995,19.2,3.057,1.756,752.788,18.1,1.5,272.509,0.8,64.1
Libya,Africa,6958538.0,3.623,29.0,4.4239999999999995,2.8160000000000003,17881.509,,,341.86199999999997,3.7,72.91
Liechtenstein,Europe,38254.0,237.012,,,,,,,,2.397,82.49
Lithuania,Europe,2689862.0,45.135,43.5,19.002,13.777999999999999,29524.265,38.0,21.3,342.98900000000003,6.56,75.93
Luxembourg,Europe,634814.0,231.447,39.7,14.312000000000001,9.842,94277.965,26.0,20.9,128.275,4.51,82.25
Macao,Asia,658391.0,20546.766,39.2,9.798,4.9910000000000005,104861.851,,,,,84.24
Madagascar,Africa,28427333.0,43.951,19.6,2.929,1.686,1416.44,,,405.994,0.2,67.04
Malawi,Africa,19647681.0,197.519,18.1,2.9789999999999996,1.7830000000000001,1095.042,24.7,4.4,227.34900000000002,1.3,64.26
Malaysia,Asia,32776195.0,96.25399999999999,29.9,6.292999999999999,3.407,26808.164,42.4,1.0,260.942,1.9,76.16
Maldives,Asia,543620.0,1454.433,30.6,4.12,2.875,15183.616000000002,55.0,2.1,164.905,,78.92
Mali,Africa,20855724.0,15.196,16.4,2.519,1.486,2014.306,23.0,1.6,268.024,0.1,59.31
Malta,Europe,516100.0,1454.037,42.4,19.426,11.324000000000002,36513.323,30.2,20.9,168.71099999999998,4.485,82.53
Marshall Islands,Oceania,59618.0,295.15,,,,3819.202,,,557.793,2.7,73.7
Mauritania,Africa,4775110.0,4.289,20.3,3.138,1.7919999999999998,3597.633,,,232.347,,64.92
Mauritius,Africa,1273428.0,622.962,37.4,10.945,5.8839999999999995,20292.745,40.7,3.2,224.644,3.4,74.99
Mexico,North America,130262220.0,66.444,29.3,6.857,4.321000000000001,17336.468999999997,21.4,6.9,152.783,1.38,75.05
Micronesia (country),Oceania,116255.0,150.77700000000002,23.0,4.81,2.392,3299.4640000000004,,,454.343,,67.88
Moldova,Europe,4024025.0,123.655,37.6,10.864,6.955,5189.972,44.6,5.9,408.50199999999995,5.8,71.9
Monaco,Europe,39520.0,19347.5,,,,,,,,13.8,86.75
Mongolia,Asia,3329282.0,1.98,28.6,4.031000000000001,2.421,11840.846000000001,46.5,5.5,460.043,7.0,69.87
Montenegro,Europe,628051.0,46.28,39.1,14.762,9.395,16409.288,47.9,44.0,387.305,3.861,76.88
Montserrat,North America,4981.0,,,,,,,,,,74.16
